cod_familiar_fam;n_pessoas_fam;qtd_pessoas_domic_fam
1431903183;5;3.0
1431904155;4;4.0
1431904236;2;1.0
1431904589;4;3.0
1431905399;4;3.0
1431906280;8;5.0
1431907090;6;2.0
1431907251;3;3.0
1431908142;5;3.0
1431908495;6;5.0
1431909203;9;7.0
1431909386;11;10.0
1431909971;3;1.0
1431910473;5;5.0
1431910635;3;3.0
1431913308;3;2.0
1431913901;6;4.0
1432890808;7;5.0
1434897397;4;2.0
1434898873;5;3.0
1434899926;6;1.0
1434902650;4;3.0
1434903702;5;4.0
1434905756;7;4.0
1434905837;1;1.0
1434905918;5;4.0
1434906647;4;2.0
1434907295;1;1.0
1434908003;4;2.0
1434910679;4;3.0
1434910830;6;4.0
1434911560;9;5.0
1448864640;4;3.0
1448866502;2;3.0
1448870100;12;11.0
1437915590;4;2.0
1437916562;6;3.0
1437918344;9;2.0
1437920080;8;8.0
1437920241;9;6.0
1437921302;6;3.0
1437921990;3;1.0
1437922961;4;1.0
1437924077;5;2.0
1437924905;7;4.0
1437926363;3;3.0
1439907722;4;1.0
1440376700;6;4.0
1442648031;6;6.0
1442648465;7;2.0
1442648546;6;3.0
1442648899;5;4.0
1442649518;6;4.0
1442649860;4;2.0
1442651091;5;4.0
1442652497;7;3.0
1442653540;6;2.0
1442655402;6;4.0
1442655674;9;6.0
1442655917;5;1.0
1442656131;6;4.0
1442657103;4;2.0
1444019244;12;6.0
1448857007;6;4.0
1448861543;7;1.0
1448871425;7;2.0
1448872316;9;4.0
1448872740;1;1.0
1448873045;5;3.0
1448874360;2;2.0
1448875099;7;3.0
1448875170;8;7.0
1448876818;3;3.0
1448877628;6;5.0
1448877709;5;1.0
1448878195;12;12.0
1448879400;5;2.0
1448880416;3;2.0
1448880505;7;5.0
1448881579;10;4.0
1448882036;5;6.0
1448882206;6;2.0
1448882621;3;2.0
1450505210;5;2.0
1455588784;3;2.0
1458841804;6;5.0
1458842100;4;2.0
1458843092;6;3.0
1458844064;4;1.0
1458846008;3;2.0
1458846270;3;2.0
1458846512;11;8.0
1458847403;6;2.0
1458847675;5;2.0
1458847756;4;3.0
1458848485;3;2.0
1458850030;8;4.0
1458850200;5;2.0
1458850625;4;2.0
1458852245;6;4.0
1458852830;10;4.0
1458854450;5;3.0
1458855422;5;5.0
1458855503;5;3.0
1458855694;4;4.0
1458856070;5;3.0
1458858286;6;5.0
1458858529;6;5.0
1458860779;2;1.0
1458860930;6;3.0
1458861074;3;1.0
1458861236;4;3.0
1458861821;3;3.0
1458861902;5;2.0
1458862801;17;10.0
1458862984;4;4.0
1458863522;7;1.0
1458864170;7;3.0
1458864332;4;3.0
1458864413;5;5.0
1458864847;8;4.0
1458866033;4;2.0
1458866971;8;6.0
1460794184;3;2.0
1461666554;8;4.0
1461666805;9;3.0
1461667607;5;5.0
1461667879;3;1.0
1461669308;4;4.0
1461670152;8;1.0
1461671205;5;4.0
1466697709;8;6.0
1466698519;4;4.0
1470749599;5;3.0
1473369533;8;2.0
1473370540;6;4.0
1473371600;10;6.0
1473372089;10;9.0
1473372160;5;5.0
1473373301;4;5.0
1473374456;6;3.0
1473375347;12;11.0
1473375690;3;2.0
1473376157;5;3.0
1473376661;6;2.0
1473377200;4;2.0
1473377633;3;2.0
1473377803;7;6.0
1473378524;8;3.0
1473378605;4;2.0
1473379172;4;4.0
1473379334;5;4.0
1473379504;5;5.0
1474144233;6;5.0
1475414099;6;5.0
1477075283;9;3.0
1477075607;3;3.0
1479387169;3;3.0
1479387592;5;5.0
1498404979;6;5.0
1500160776;4;3.0
1500178128;4;3.0
1500193194;2;1.0
1502661977;10;4.0
1503665585;8;2.0
1507188102;4;3.0
1510931058;3;2.0
1516490223;4;3.0
1517448581;4;1.0
1520074077;3;3.0
1523209119;6;6.0
1530227526;2;3.0
1530228760;15;5.0
1530228840;10;4.0
1530229731;11;2.0
1530229812;4;1.0
1530230152;2;2.0
1530230900;6;3.0
1524513156;2;4.0
1528189523;7;3.0
1530195730;4;1.0
1530196540;4;2.0
1530196620;5;2.0
1530197350;3;2.0
1530197511;5;2.0
1530198160;7;4.0
1530198755;6;3.0
1530199050;5;5.0
1530199727;7;3.0
1530200245;7;2.0
1530201136;6;4.0
1530202965;6;3.0
1530203694;9;9.0
1530204313;5;5.0
1530205204;4;3.0
1530205638;3;2.0
1530206952;6;3.0
1530207509;4;4.0
1530208068;5;2.0
1530208491;5;4.0
1530209200;4;4.0
1530209382;5;6.0
1530209463;9;6.0
1530209897;5;3.0
1530210399;3;2.0
1530211603;4;3.0
1530213142;6;3.0
1530213223;4;4.0
1530214386;4;3.0
1530214629;4;4.0
1530215510;7;6.0
1530216320;4;4.0
1530216753;6;3.0
1530216915;5;6.0
1530217130;7;7.0
1530219000;2;2.0
1530220513;5;3.0
1530220866;4;5.0
1530221242;3;3.0
1530221323;3;3.0
1530221595;5;4.0
1530221757;5;2.0
1530222052;6;4.0
1530222486;6;4.0
1530222567;5;4.0
1530223881;7;7.0
1530224268;8;1.0
1530231809;10;6.0
1530233097;9;9.0
1530233330;7;6.0
1530234654;5;2.0
1530235545;6;5.0
1530236606;9;3.0
1530236940;8;4.0
1530238560;2;2.0
1530240468;3;2.0
1530241430;5;2.0
1530241863;4;3.0
1530276225;3;3.0
1530276306;5;6.0
1530278007;4;3.0
1530278350;6;4.0
1530279755;6;2.0
1530280508;3;1.0
1530282381;4;6.0
1530282705;9;6.0
1530282896;9;4.0
1530283000;4;3.0
1530243645;7;2.0
1530244455;4;2.0
1530244536;6;3.0
1530244617;8;3.0
1530245931;5;2.0
1530246407;3;2.0
1530246580;6;1.0
1530248523;7;3.0
1530249503;5;2.0
1530252717;7;4.0
1530253527;9;8.0
1530254256;6;5.0
1530255651;16;4.0
1530257271;9;2.0
1530259134;8;2.0
1530260060;6;4.0
1530261031;7;5.0
1530262356;5;2.0
1530262607;4;2.0
1530263085;5;4.0
